business_id,,business_id,name,address,city,state,postal_code,latitude,longitude,phone_number,Score,date,type
502,803,502,COURTYARD BY MARRIOTT-COFFEE SHOP,299 02ND ST ,San Francisco,CA,94105,37.785614,-122.396693,,92,20121116,routine
503,807,503,KIJI RESTAURANT,1009 GUERRERO ST,San Francisco,CA,94110,37.754923,-122.423126,,92,20120530,routine
505,811,505,QUICKLY,5301 MISSION ST ,San Francisco,CA,94112,37.714458,-122.44277,,98,20130204,routine
507,816,507,VIKING'S GIANT SUB,2906 DIAMOND ST ,San Francisco,CA,94131,37.733449,-122.434241,,100,20130102,routine
508,821,508,VICTORIA'S PIZZERIA,3605 BALBOA ST ,San Francisco,CA,94121,37.775653,-122.497387,,100,20130206,routine
509,827,509,CAFE BAKERY,1365 NORIEGA ST ,San Francisco,CA,94122,37.75409,-122.478248,,85,20130506,routine
510,834,510,DONUT TIME,2401 NORIEGA ST ,San Francisco,CA,94122,37.753633,-122.48954,,85,20130501,routine
515,840,515,TAZAKI SUSHI,3420 JUDAH ST ,San Francisco,CA,94122,37.760769,-122.498792,,96,20130425,routine
519,844,519,SHERATON PALACE - EMP.  CAFETERIA,2 NEW MONTGOMERY ST ,San Francisco,CA,94105,37.788286,-122.401543,,92,20130111,routine
520,848,520,DAILY HEALTH,1235 09TH AVE ,San Francisco,CA,94122,37.758941,-122.48591,,83,20120727,routine
521,851,521,CALIFORNIA CRISP,3251 20TH AVE ,San Francisco,CA,94132,37.728497,-122.475639,14155564254.0,83,20121204,routine
522,856,522,BOUDIN SOURDOUGH BAKERY,3251 20TH AVE ,San Francisco,CA,94132,37.728497,-122.475639,14155561849.0,100,20121017,routine
527,860,527,MELISA'S CHINESE CUISINE,0450 BALBOA ST ,San Francisco,CA,94118,37.777292,-122.463496,,83,20130110,routine
529,865,529,NIZARIO'S PIZZA,3840 GEARY BLVD ,San Francisco,CA,94118,37.781278,-122.460661,,94,20120924,routine
538,869,538,MARNEE THAI RESTAURANT,2225 IRVING ST ,San Francisco,CA,94122,37.763343,-122.481809,,86,20130212,routine
539,874,539,EL SALVADOR RESTAURANT,2278 MISSION ST ,San Francisco,CA,94110,37.760579,-122.41932,,100,20130315,routine
542,879,542,HAMBURGER HAVEN,800 CLEMENT ST ,San Francisco,CA,94118,37.782799,-122.467852,,85,20121129,routine
544,884,544,THAI TIME RESTAURANT,315 08TH AVE ,San Francisco,CA,94118,37.782534,-122.466615,14155387992.0,88,20121220,routine
547,888,547,LITTLE HENRY'S,3600 BALBOA ST ,San Francisco,CA,94121,37.775728,-122.497522,,98,20121206,routine
549,893,549,MESCOLANZA,2221 CLEMENT ST ,San Francisco,CA,94121,37.782064,-122.483159,,96,20121031,routine
551,897,551,GORDO TAQUERIA,2252 CLEMENT ST ,San Francisco,CA,94121,37.782107,-122.483631,,98,20120814,routine
552,900,552,LOI'S VIETNAMESE RESTAURANT,2228 IRVING ST ,San Francisco,CA,94122,37.763428,-122.481736,,83,20121016,routine
557,905,557,KATIA'S,600 05TH AVE ,San Francisco,CA,94118,37.77721,-122.462874,14155669292.0,92,20130214,routine
558,909,558,CAJUN PACIFIC,4542 IRVING ST ,San Francisco,CA,94122,37.762304,-122.506543,,88,20130508,routine
560,913,560,NORA'S MARKET,454 CAPITOL AVE ,San Francisco,CA,94112,37.714782,-122.459026,14155335068.0,98,20130326,routine
562,917,562,DESTINO RESTAURANT,1815 MARKET ST ,San Francisco,CA,94103,37.771437,-122.423892,14155649016.0,93,20130328,routine
563,922,563,HANG FOOK BAKERY & RESTAURANT,1325 OCEAN AVE ,San Francisco,CA,94112,37.723974,-122.456626,14155335896.0,83,20130319,routine
567,928,567,SAN FRANCISCO SOUP COMPANY,1 MARKET ST ,San Francisco,CA,94105,37.794347,-122.394932,,94,20130301,routine
573,933,573,MUFFIN'S MUFFIN,123 02ND ST ,San Francisco,CA,94105,37.787755,-122.399372,,96,20120504,routine
580,935,580,TACO LOS ALTOS,737 CORTLAND AVE ,San Francisco,CA,94110,37.738979,-122.414971,,98,20121024,routine
581,940,581,CAFE LEAH 3,77 BEALE ST ,San Francisco,CA,94105,37.791363,-122.39602,,85,20130123,routine
587,944,587,NEW TSING TAO RESTAURANT,811 ULLOA ST ,San Francisco,CA,94127,37.740654,-122.465389,14155569559.0,84,20130221,routine
588,947,588,BURRITO EXPRESS,1601 TARAVAL ST ,San Francisco,CA,94116,37.742673,-122.48334,,96,20120918,routine
589,952,589,WON TON HOUSE,1325 NORIEGA ST ,San Francisco,CA,94122,37.754106,-122.477841,,90,20130506,routine
590,959,590,HAHN'S HIBACHI #6,535 IRVING ST ,San Francisco,CA,94122,37.764116,-122.463472,,92,20120926,routine
591,962,591,YOU SEE SUSHI,94 JUDAH ST ,San Francisco,CA,94122,37.762378,-122.462692,14155684010.0,90,20121218,routine
